2025-08-19 14:07:19,938 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-19 14:07:19,951 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: /media/tinhanhnguyen/Data3/Projects/HCMAI2025_Baseline/data/keyframe
2025-08-19 14:07:19,953 | ERROR    | core.dependencies | error:50 | Failed to create query controller: [Errno 13] Permission denied: '/media/tinhanhnguyen'
2025-08-19 14:07:25,299 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-19 14:07:25,301 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: /media/tinhanhnguyen/Data3/Projects/HCMAI2025_Baseline/data/keyframe
2025-08-19 14:07:25,305 | ERROR    | core.dependencies | error:50 | Failed to create query controller: [Errno 13] Permission denied: '/media/tinhanhnguyen'
2025-08-25 14:11:14,409 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 14:11:14,418 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: /data/keyframe
2025-08-25 14:11:14,419 | ERROR    | core.dependencies | error:50 | Failed to create query controller: [Errno 13] Permission denied: '/data'
2025-08-25 14:17:24,049 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 14:17:24,051 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 14:17:24,059 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: data\keyframes
2025-08-25 14:17:24,061 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: data\keyframes
2025-08-25 14:17:24,067 | WARNING  | core.dependencies | warning:47 | ID2Index file does not exist: data\id2index.json
2025-08-25 14:17:24,069 | WARNING  | core.dependencies | warning:47 | ID2Index file does not exist: data\id2index.json
2025-08-25 14:17:24,104 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 14:17:24,105 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 14:19:12,830 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 14:19:12,845 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 14:19:15,957 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 14:19:15,969 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 14:28:15,538 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 14:28:15,551 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: data/keyframes
2025-08-25 14:28:15,570 | WARNING  | core.dependencies | warning:47 | ID2Index file does not exist: data/id2index.json
2025-08-25 14:28:15,597 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 14:54:11,266 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 14:54:11,342 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 15:32:56,197 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:32:56,226 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 15:33:02,958 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:33:02,959 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:33:02,974 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 15:33:02,975 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 15:33:57,270 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:33:57,285 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 15:38:33,176 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:38:33,186 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 15:48:49,097 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:48:49,107 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: data/keyframes
2025-08-25 15:48:49,124 | WARNING  | core.dependencies | warning:47 | ID2Index file does not exist: data/id2index.json
2025-08-25 15:48:49,152 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 15:51:26,655 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:51:26,664 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 15:58:56,462 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:58:56,462 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:58:56,462 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:58:56,463 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 15:58:56,468 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: /data/keyframes
2025-08-25 15:58:56,469 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: /data/keyframes
2025-08-25 15:58:56,470 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: /data/keyframes
2025-08-25 15:58:56,471 | WARNING  | core.dependencies | warning:47 | Data folder does not exist: /data/keyframes
2025-08-25 15:58:56,472 | ERROR    | core.dependencies | error:50 | Failed to create query controller: [Errno 13] Permission denied: '/data'
2025-08-25 15:58:56,475 | ERROR    | core.dependencies | error:50 | Failed to create query controller: [Errno 13] Permission denied: '/data'
2025-08-25 15:58:56,477 | ERROR    | core.dependencies | error:50 | Failed to create query controller: [Errno 13] Permission denied: '/data'
2025-08-25 15:58:56,479 | ERROR    | core.dependencies | error:50 | Failed to create query controller: [Errno 13] Permission denied: '/data'
2025-08-25 16:06:22,310 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:06:22,312 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:06:22,382 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:06:22,383 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:07:01,031 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:07:01,078 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:07:27,540 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:07:27,596 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:07:43,898 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:07:43,957 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:13:41,475 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:13:41,527 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:14:40,279 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:14:40,324 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:14:47,634 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:14:47,693 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:16:03,094 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:16:03,135 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:16:28,592 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:16:28,633 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:18:07,230 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:18:07,278 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:18:16,517 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:18:16,578 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-25 16:18:19,081 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-25 16:18:19,141 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-30 03:24:33,175 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-30 03:24:33,274 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-30 03:25:25,983 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-30 03:25:26,032 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-30 03:27:05,234 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-30 03:27:05,327 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-30 03:33:22,926 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-30 03:33:23,005 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-30 03:33:48,175 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-30 03:33:48,235 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-30 03:34:35,730 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-30 03:34:35,801 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-30 03:34:57,172 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-30 03:34:57,238 | INFO     | core.dependencies | info:44 | Query controller created successfully
2025-08-30 03:35:07,311 | INFO     | core.dependencies | info:44 | Creating query controller...
2025-08-30 03:35:07,393 | INFO     | core.dependencies | info:44 | Query controller created successfully
